Table,Manufacturer,Year,Author,VPW/toolkit,Download,VPS-ID,Date added,Vouched for by,Confidence,"Notes, comments",Comp. Corner,C.C. last played,Rules/Instruction Cards,Tutorials
Checkpoint,Data East,1991,Nestorgian,,Checkpoint (Data East 1991)2.0 - VPX - Pinball Tables,cgGHIB6lm4,01/07/2023,PinStratsDan,Full,,,,Checkpoint - Pinball Archive Rule Sheet,
Cheetah,Stern,1980,FrankEinstein,,Cheetah (Stern 1980) - VPX - Pinball Tables,QjgTwfslRw,20/08/2024,mikepmcs,Full,,,05/08/2024,Cheetah - Pinball Rules,Cheetah Pinball Tutorial & Gameplay (Stern Electronics 1980)
Cirqus Voltaire,Bally,1997,VPW,,Cirqus Voltaire Bally 1997 vpw mod,rEHR1gcLVn,23/09/2023,DeadMansPants,Full,,,01/12/2025,Cirqus Voltaire,Cirqus Voltaire Pinball Tutorial & Gameplay (Bally Williams 1997)
Class of 1812,Gottlieb,1991,UnclePaulie,,Class of 1812 (Gottlieb 1991) w VR Room - VPX - Pinball Tables,rOVXuHYS,20/11/2023,ballMRK,Full,,,07/10/2024,,"""Class 1812"" Tutorial & Playthrough on Legends Pinball"
Comet ,Williams,1985,UnclePaulie,,Comet (Williams 1985) w VR Room - VPX - Pinball Tables,OzWKJbrv,28/06/2023,PinStratsDan,Full,,,05/09/2022,Comet Rules Sheet,Comet pinball tutorial
Congo ,Williams,1995,VPW,,Congo (Williams 1995) VPW Mod - VPX - Pinball Tables,IQpZNVvo,28/06/2023,PinStratsDan,Full,Midnight Madness mode,,21/11/2022,Congo - Pinball Archive Rule Sheet,Congo (Williams 1995) - VPX Video Instruction
Countdown,Gottlieb,1979,VPW,,Count-Down (Gottlieb 1979) - VPX - Pinball Tables - Virtual Pinball Universe,-vHQqSw_Bx,08/07/2025,Laef,Full,Rollover 1 M,,14/07/2025,Count-Down - Pinball Rules,1979 Gottlieb Count-Down Pinball Gameplay & Tutorial! Who likes Drop Targets! - YouTube
Creature From The Black Lagoon,Bally,1992,VPW,,Creature From The Black Lagoon (Bally 1992) Minimal - VR - Virtual Reality Pinball,-M9gl48K,01/07/2023,Mikepmcs,Full,,,07/07/2025,Pinball Archive Rule Sheet: Creature from the Black Lagoon,Creature from the Black Lagoon Pinball Tutorial - Mobile Version
Cue Ball Wizard,Gottlieb,1992,Mikcab,,Cue Ball Wizard (Gottlieb 1992) Mikcab_Mod - Modified (MOD) Games - Virtual Pinball Universe,Usnyu--CEf,12/09/2023,Apophis,Full,,,,"Cue Ball Wizard Rulesheet (May/04/1993), by Jerry Duffy",
CupHead Pro Perdition Edition,Original,2020,OneVox,,"Cuphead Pro, Perdition Edition (D.Goblett & Co. 2020) - VPX - Pinball Tables",WqVCVjSP,18/09/2023,Colvert,Full,,,13/06/2022,,
Cyber Race,Original,2023,flux,,Cyber Race (Flux Original 2023) - VPX - Pinball Tables - Virtual Pinball Universe,peImTeYd43,17/02/2025,Ed209,Full,,,10/02/2025,CyberRace (Flux Original 2023) Instruction Card - Instruction Cards,
Dark Chaos,Original,2025,Apophis,,Dark Chaos (apophis 2025) - VPX - Pinball Tables,ePSwAxXZi6,21/04/2025,Laef,Full,,,21/04/2025,Dark Chaos - VPX Table Overview,Dark Chaos (apophis 2025) VPX Pinball Tutorial
Darkest Dungeon,Original,2023,Vpxpinballwizards,,Darkest Dungeon Table & Pup - PuP-Pack Original (PuP-Original) Game Creations - Virtual Pinball Universe,8neiKBTNGj,23/01/2026,PinStratsDan,Full,,,19/01/2026,in the download,
Deadly Weapon,Gottlieb,1990,Schlabber34,,Deadly Weapon Gottlieb (1990) - VPX - Pinball Tables,MtaSLd2Syp,24/02/2026,S0l1dxsnake,,,,23/02/2026,,
Defender ,Williams,1981,VPW,,Defender (Williams 1982) VPW - VPX - Pinball Tables,XJIqrWKHAC,28/06/2023,PinStratsDan,Full,,,21/03/2022,https://www.pinrepair.com/sys37/manuals/wms7-defender-op.pdf,Williams Defender pinball
Die Hard Trilogy,Original,2023,VPW,,Die Hard Trilogy (VPW 2023) - VPX - Pinball Tables,C1m5TY2-TY,05/01/2024,Ballmrk,Full,,,22/12/2025,Die Hard Trilogy (VPW 2023) Instruction Card,Die Hard Trilogy (VPW 2023) - VPX Video Instruction
Diner ,Williams,1990,VPW,,Diner (Williams 1990) VPW Mod - VPX - Pinball Tables,9-YJeZ-RkH,28/06/2023,PinStratsDan,Full,,,28/02/2022,Diner - Pinball Archive Rule Sheet,Diner Pinball Tutorial
Dirty Harry ,Williams,1995,TastyWasps,,Dirty Harry (Williams 1995) - VPX - Pinball Tables,_Dir4AjsH8,28/06/2023,PinStratsDan,Full,Midnight Madness mode,,,Pinball Archive Rule Sheet: Dirty Harry,Dirty Harry Pinball Tutorial
Dr Dude & His Excellent Ray,Bally,1990,wrd1972,,Dr. Dude & His Excellent Ray (Bally 1990) - VPX - Pinball Tables,YSh_n9Vg,12/09/2023,Colvert,Full,Competition rom available,,02/10/2023,Pinball Archive Rule Sheet: Dr. Dude,Dr Dude Tutorial
Dr Who ,Bally,1992,VPW,,Doctor Who (Bally 1992) VPW Mod - VPX - Pinball Tables,VY2Q81uV,28/06/2023,Ballmrk,Full,,,23/06/2025,Pinball Archive Rule Sheet: Dr. Who,Doctor Who Pinball Tutorial
Dracula ,Stern,1979,Bord,,Dracula (Stern 1979) - VPX - Pinball Tables,6pssSgrZ,28/06/2023,PinStratsDan,Full,,,,Pinball Archive Rule Sheet: Bram Stoker's Dracula,Multiballs of Madness! How to Play Bram Stoker's Dracula Pinball Machine | Kineticist
